hsanum,year,race_total_pop,race_black_pop,hispanic_total_pop,hispanic_pop,median_hh_income,employment_pop,employment_unemployed_pop,education_pop,education_nohs_pop
1001,2014,8870,3798,8870,3585,707713.0,55371,4504,75280,12481
1001,2015,111839,15326,111839,9512,625475.0,54125,3888,73975,12092
1001,2016,114166,15320,114166,8913,691244.0,89256,3405,75983,11698
1001,2017,113846,15725,113846,8875,665537.0,53481,2985,75356,11063
1002,2014,806,571,806,130,33497.0,8786,926,14443,3529
1002,2015,22897,7991,22897,1036,60646.0,9611,1088,15664,3918
1002,2016,22621,8283,22621,914,62152.0,17978,897,15918,4167
1002,2017,22751,7725,22751,821,64984.0,9258,971,15983,3763
1003,2014,2129,828,2129,320,269485.0,11093,1103,17478,3138
1003,2015,25191,3556,25191,400,242500.0,10974,1186,17712,3231
1003,2016,25520,3507,25520,390,247924.0,20639,1175,18041,3002
1003,2017,25672,3500,25672,439,242027.0,11588,1229,17934,2899
1004,2014,7236,3430,7236,2019,538347.0,46212,6074,69954,13880
1004,2015,96675,21157,96675,3468,486981.0,44376,5450,66741,13184
1004,2016,100318,21171,100318,3944,532860.0,79900,5331,69261,13111
1004,2017,100479,21195,100479,4013,563869.0,45552,4680,69899,12723
1006,2014,1217,397,1217,241,103134.0,5044,576,8356,1995
1006,2015,11487,1557,11487,430,101720.0,4944,491,8007,1860
1006,2016,11281,1549,11281,419,105237.0,9287,409,7868,1878
1006,2017,11491,1671,11491,419,109751.0,5077,374,7985,2086
1007,2014,5138,1954,5138,2138,277563.0,30928,2887,47436,9149
1007,2015,69200,8776,69200,4767,277265.0,31079,2674,47985,9219
1007,2016,69598,8575,69598,4764,277933.0,56174,2739,48520,9147
1007,2017,70712,8510,70712,4686,271392.0,31318,2457,48950,8922
1008,2014,856,631,856,170,30265.0,7178,1166,12799,3252
1008,2015,18766,6996,18766,245,110579.0,6883,1070,12658,2871
1008,2016,18755,6924,18755,348,112985.0,15176,835,12515,2661
1008,2017,19050,7219,19050,402,125509.0,6852,837,12711,2478
1010,2014,5927,3491,5927,1322,354665.0,45389,4799,69321,10735
1010,2015,101075,35911,101075,3010,352357.0,44797,4432,69407,10229
1010,2016,100722,37577,100722,2947,340751.0,80185,4024,69377,9781
1010,2017,99419,36866,99419,2892,352660.0,45094,3723,69027,9753
1011,2014,53887,31335,53887,15681,3871014.0,425295,39052,578455,70813
1011,2015,853617,270452,853617,31592,3725352.0,423450,35207,578038,66343
1011,2016,856487,269882,856487,31505,3825708.0,679454,31005,581326,64114
1011,2017,858789,270746,858789,32179,3890887.0,426917,28751,584216,61671
1012,2014,5778,516,5778,3735,260755.0,31040,2808,45059,12285
1012,2015,76989,812,76989,15429,297091.0,32577,2362,48275,13650
1012,2016,76361,841,76361,15738,288839.0,57270,2118,48329,13157
1012,2017,77103,920,77103,16679,298878.0,32254,1677,48406,12318
1013,2014,1739,1144,1739,331,191133.0,8659,1409,15212,2906
1013,2015,22586,6733,22586,286,177463.0,8765,1430,15663,2936
1013,2016,22423,6122,22423,447,194502.0,17854,1474,15582,2907
1013,2017,21345,5334,21345,423,101855.0,8365,1224,15181,2923
1014,2014,871,312,871,187,76344.0,4195,476,5844,1641
1014,2015,7983,774,7983,219,71601.0,3619,416,5350,1303
1014,2016,7809,621,7809,232,66463.0,6139,239,5173,1145
1014,2017,7602,605,7602,298,66691.0,2974,194,5116,817
1016,2014,1004,971,1004,61,110010.0,2260,404,4438,842
1016,2015,7122,5210,7122,5,82175.0,2448,493,4679,967
1016,2016,6659,4770,6659,0,61964.0,5432,414,4534,823
1016,2017,6100,4268,6100,0,72496.0,2230,312,4152,712
1017,2014,1316,1012,1316,133,87338.0,4738,930,8407,2048
1017,2015,12482,7249,12482,292,80353.0,4598,703,8527,2149
1017,2016,12568,6991,12568,451,85630.0,10232,620,8632,1917
1017,2017,12896,6712,12896,708,94428.0,4809,602,9088,2150
1018,2014,2164,535,2164,400,138337.0,9810,879,16016,3378
1018,2015,21998,1238,21998,391,143340.0,9103,755,15792,3335
1018,2016,21524,1152,21524,405,153912.0,17644,512,15544,3012
1018,2017,21362,1149,21362,364,166665.0,8647,467,15742,3128
1019,2014,1105,794,1105,39,60633.0,3821,264,7715,2083
1019,2015,11872,4050,11872,54,108995.0,4602,196,8583,1830
1019,2016,10617,3865,10617,155,73162.0,9381,177,8095,1848
1019,2017,12386,4011,12386,289,143053.0,4882,348,9187,1776
1022,2014,8057,641,8057,1850,567638.0,37998,3328,58757,11111
1022,2015,84561,939,84561,3434,519272.0,36218,2582,57922,10642
1022,2016,85758,895,85758,3413,523581.0,68268,2206,58917,10797
1022,2017,84822,926,84822,3466,539607.0,35370,2006,58576,10773
1023,2014,457,283,457,86,42656.0,3584,413,6221,1120
1023,2015,7921,1386,7921,111,49093.0,3335,295,6276,1056
1023,2016,7879,1374,7879,127,50531.0,6931,213,6258,1003
1023,2017,8162,1883,8162,88,51670.0,3082,170,6172,847
1024,2014,3068,1558,3068,1585,199956.0,37179,3807,52615,9857
1024,2015,76193,14797,76193,7864,194672.0,36105,3551,52790,9162
1024,2016,76088,14692,76088,7999,209632.0,60951,3027,52503,8952
1024,2017,76025,15161,76025,8317,207133.0,34326,2265,52807,9229
1025,2014,1660,1478,1660,252,206155.0,6506,715,10826,1487
